step,track_id,innov_x,innov_y,S00,S01,S10,S11
5,1,0,0,0,0,0,0
6,1,12.513224849507793,-17.546308836637358,454.000003515625,0,0,454.000003515625
7,1,-8.2852759086252803,-15.571769180908394,346.42073010240006,0,0,346.42073010240006
8,1,27.216561003012032,4.6128362562451279,315.45071630015758,0,0,315.45071630015758
9,1,19.608106544798986,25.497699605205909,304.20933141918084,0,0,304.20933141918084
9,2,0,0,0,0,0,0
10,1,-29.658285804641011,15.389308288063337,300.56628218563526,0,0,300.56628218563526
10,2,1.9173768293084947,-12.259647477188683,454.000003515625,0,0,454.000003515625
11,1,9.3086686691851099,-3.1114401934726721,299.87323091651467,0,0,299.87323091651467
11,2,9.3652595700960433,0.5264873822857421,346.42073010240006,0,0,346.42073010240006
12,1,9.9099291723584599,-3.9379820679259656,299.87327738598583,0,0,299.87327738598583
12,2,-2.1512338437770211,-27.195906574735481,315.45071630015758,0,0,315.45071630015758
13,1,0.53125544046778828,11.151793638358507,299.49958383728011,0,0,299.49958383728011
13,2,15.02197491384355,1.0741932064327973,304.20933141918084,0,0,304.20933141918084
14,1,15.665202664420008,18.168301678188321,298.38771019139267,0,0,298.38771019139267
14,2,-7.2108873224068759,-18.94172007079985,300.56628218563526,0,0,300.56628218563526
15,1,-7.870540246786959,4.053967724313873,296.55473428174889,0,0,296.55473428174889
15,2,-17.663103667331875,9.9464395203633469,299.87323091651467,0,0,299.87323091651467
16,1,3.3125476001940797,5.7576170826398414,294.17709422699812,0,0,294.17709422699812
16,2,4.891717783635869,16.973435064796302,299.87327738598583,0,0,299.87327738598583
17,1,-10.275156821501639,-29.98996661854116,291.46097405706632,0,0,291.46097405706632
17,2,-13.75598810606796,-2.2608834700170046,299.49958383728011,0,0,299.49958383728011
18,1,-5.6692572438353181,-11.799287929097058,288.5834981819192,0,0,288.5834981819192
18,2,-19.218415244596031,12.379582256897582,298.38771019139267,0,0,298.38771019139267
19,1,3.1064199854712911,-13.507327925369719,285.6759210726778,0,0,285.6759210726778
19,2,3.8957419174373342,9.2128051520910521,296.55473428174889,0,0,296.55473428174889
20,1,1.6229098025613808,-3.2857360332898877,282.82634306903276,0,0,282.82634306903276
20,2,6.3406580789368476,-0.70401279035198883,294.17709422699812,0,0,294.17709422699812
21,1,2.3351663155474682,23.893884535716317,280.08891071638664,0,0,280.08891071638664
21,2,52.507366677610122,24.734661970389165,291.46097405706632,0,0,291.46097405706632
